date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2014-06-05,51,132,36,3,76,1,23,75,6,28,2,207,8
2014-06-06,57,155,52,7,75,2,41,94,10,20,3,172,12
2014-06-07,69,190,42,2,97,2,32,83,14,28,3,185,8
2014-06-08,50,170,35,4,87,0,30,66,7,24,2,165,6
2014-06-09,56,161,46,1,63,3,30,63,11,25,6,203,7
2014-06-10,56,103,36,2,58,1,24,64,4,26,3,154,6
2014-06-11,49,150,35,2,60,0,29,89,18,21,2,179,9
2014-06-12,74,137,41,5,72,1,33,75,9,34,2,192,14
2014-06-13,49,158,43,7,87,0,33,89,8,30,3,255,12
2014-06-14,41,185,36,7,112,1,24,77,11,25,7,167,15
2014-06-15,59,215,39,10,104,2,25,53,10,32,5,187,14
2014-06-16,59,166,37,3,98,0,34,80,9,24,5,203,19
2014-06-17,66,177,49,3,93,2,24,89,10,29,1,188,14
2014-06-18,38,138,46,1,91,0,26,65,6,23,8,178,10
2014-06-19,44,140,49,4,64,1,38,76,6,43,3,194,10
2014-06-20,59,155,56,3,73,0,38,88,6,21,1,215,12
2014-06-21,52,186,26,7,92,2,26,98,7,31,4,207,13
2014-06-22,67,183,35,5,103,4,26,70,9,32,2,215,13
2014-06-23,55,129,49,1,66,1,38,89,12,26,2,183,13
2014-06-24,53,139,46,2,89,0,30,89,11,31,3,200,9
2014-06-25,58,124,44,2,77,1,34,99,12,32,3,231,11
2014-06-26,56,127,33,3,74,2,29,81,9,26,3,226,13
2014-06-27,43,168,49,6,64,2,34,102,7,44,4,201,15
2014-06-28,42,187,44,9,92,1,32,81,8,34,4,183,12
2014-06-29,57,242,41,5,80,0,33,91,13,40,4,180,8
2014-06-30,57,148,47,4,89,1,33,60,7,39,7,183,3
2014-07-01,55,157,49,7,69,0,33,90,5,43,11,236,15
2014-07-02,45,127,42,2,71,3,36,100,11,16,4,209,9
2014-07-03,50,139,59,4,82,1,31,100,6,27,0,216,17
2014-07-04,55,188,45,5,96,1,25,89,18,27,0,170,17
2014-07-05,58,206,31,4,108,2,42,77,11,32,9,191,10
2014-07-06,57,209,43,5,91,5,27,89,13,31,1,181,11
2014-07-07,48,166,44,1,68,6,43,86,15,45,0,212,11
2014-07-08,58,150,36,3,75,2,21,97,11,36,1,189,19
2014-07-09,47,158,45,0,81,0,30,89,11,25,4,208,7
2014-07-10,53,138,32,3,67,0,27,102,4,36,3,206,11
2014-07-11,61,152,58,5,75,1,35,104,8,38,3,235,15
2014-07-12,63,171,40,5,100,2,25,87,5,32,1,158,8
2014-07-13,64,195,35,3,93,1,37,88,10,24,1,173,9
2014-07-14,47,138,41,4,71,2,18,83,6,32,1,214,12
2014-07-15,57,116,46,2,61,0,28,101,4,22,1,211,10
2014-07-16,54,116,53,1,85,0,27,83,11,37,2,221,14
2014-07-17,42,145,43,2,106,0,24,72,9,14,1,200,7
2014-07-18,51,149,44,3,98,0,31,91,6,22,3,217,5
2014-07-19,52,190,43,2,92,4,36,88,11,33,4,185,6
2014-07-20,45,208,26,6,99,1,32,73,14,30,4,193,10
2014-07-21,43,156,49,2,63,1,25,80,13,26,4,204,5
2014-07-22,48,150,54,3,89,1,27,86,13,35,2,191,12
2014-07-23,43,143,41,5,89,1,28,100,11,33,1,223,11
2014-07-24,61,138,50,4,84,1,32,90,8,31,0,215,10
2014-07-25,55,131,52,4,98,1,32,98,9,32,1,241,13
2014-07-26,54,174,43,2,103,0,29,77,13,24,2,213,17
2014-07-27,42,188,50,4,99,0,31,81,12,23,6,189,8
